,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
10,1356462983031918594,1356462983031918594,1612240951000.0,2021-02-01 20:42:31,-0800,,Congrats to my friend &amp; new @ACLU President @DeborahNArcher! She’s the civil rights powerhouse’s 1st Black president! We met before we attended law school together &amp; I know she’ll do now what she was doing then: Advancing racial justice &amp; liberty for all!  https://t.co/JxkTfVA3vE,en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,20,https://twitter.com/RobBontaCA/status/1356462983031918594,['https://www.theguardian.com/us-news/2021/feb/01/aclu-deborah-archer-first-black-president'],[],0,,False,28,4,3,,,,,,,,,[],,,,
11,1356407999787491328,1356407999787491328,1612227842000.0,2021-02-01 17:04:02,-0800,,Such respect and admiration for my friend and law school classmate @StaceyAbrams for her work to combat voter suppression and now for her #NobelPeacePrize nomination! Her efforts have made us a more perfect union. So fitting for #BlackHistoryMonth 1st day!  https://t.co/qXL8zkUNvs,en,"['nobelpeaceprize', 'blackhistorymonth']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,17,https://twitter.com/RobBontaCA/status/1356407999787491328,['https://bit.ly/39EHRTv'],[],0,,False,677,11,47,,,,,,,,,[],,,,
12,1355561416678367239,1355561416678367239,1612026001000.0,2021-01-30 09:00:01,-0800,,"Today is Fred Korematsu Day! The #Oakland native &amp; fmr #SanLeandro resident was a civil rights icon. He bravely fought Executive Order 9066, which unjustly sent thousands of Japanese Americans to internment camps during WWII. Learn more about his courage @  https://t.co/N9EL6FOoz0  https://t.co/bsH5LLFv0e",en,"['oakland', 'sanleandro']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,6,09,https://twitter.com/RobBontaCA/status/1355561416678367239,['https://bit.ly/2M7W9Dj'],['https://pbs.twimg.com/media/Es9gUhEVoAEG9Qy.png'],1,https://pbs.twimg.com/media/Es9gUhEVoAEG9Qy.png,False,74,0,28,,,,,,,,,[],,,,
13,1354912993499176961,1354912993499176961,1611871405000.0,2021-01-28 14:03:25,-0800,,"The Assembly has voted to protect CA renters by extending the #COVID19 eviction moratorium until 6/30. This is a critical step— and we know we must do more still. While not perfect, our action will help keep our neighbors in their homes and promote health, safety and well-being!  https://t.co/PKWU4HqQLQ",en,['covid19'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,4,14,https://twitter.com/RobBontaCA/status/1354912993499176961,[],['https://pbs.twimg.com/media/Es2eL-XVkAEWql2.jpg'],1,https://pbs.twimg.com/media/Es2eL-XVkAEWql2.jpg,False,24,1,8,,,,,,,,,[],,,,
14,1354603978252668929,1354603978252668929,1611797730000.0,2021-01-27 17:35:30,-0800,,It’s an honor to be recognized as one of @cejaaction’s 2020 Environmental Justice Champions. Proud to partner with you to help ensure communities hit hardest by poverty and pollution benefit the most from California's green advances.,en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,3,17,https://twitter.com/RobBontaCA/status/1354603978252668929,[],[],0,,False,25,2,4,https://twitter.com/cejapower/status/1354537282854809600,,,,,,,,[],,,,
15,1354575286935805959,1354575286935805959,1611790889000.0,2021-01-27 15:41:29,-0800,,"On International Holocaust Remembrance Day, #WeRemember the murder of 6 million Jews and millions of others by Nazi Germany. May we honor their memory by standing up against antisemitism, authoritarian abuse of power and hate in all its forms. #NeverForget  https://t.co/YnQf9RarwG  https://t.co/vwgDautE2j",en,"['weremember', 'neverforget']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,3,15,https://twitter.com/RobBontaCA/status/1354575286935805959,['https://bit.ly/3qVclXe'],['https://pbs.twimg.com/media/EsxrC3HUUAIPfZp.jpg'],1,https://pbs.twimg.com/media/EsxrC3HUUAIPfZp.jpg,False,14,0,4,,,,,,,,,[],,,,
16,1354547110452940800,1354547110452940800,1611784172000.0,2021-01-27 13:49:32,-0800,,"Congratulations to our next CA Secretary of State, @AsmShirleyWeber!  She’s a moral giant and a powerful voice for justice. I was honored to vote in support of her confirmation. This display of enormous respect &amp; admiration from her colleagues, me chief among them, is so fitting.  https://t.co/mWEEDAia2q",en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,3,13,https://twitter.com/RobBontaCA/status/1354547110452940800,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1354547086990012416/pu/img/VmsUkruliG4GmC-f.jpg,False,54,0,7,,,,,,,,,[],,,,
17,1354497458701705217,1354497458701705217,1611772334000.0,2021-01-27 10:32:14,-0800,,"California's money bail system remains unjust, unsafe, and unfair. I'm proud to partner with my colleagues @SenateHertzberg and @NancySkinnerCA to continue our fight. Nothing less than justice for all Californians is at stake.  https://t.co/m5mQG3yIHb",en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,3,10,https://twitter.com/RobBontaCA/status/1354497458701705217,['https://www.sacbee.com/opinion/op-ed/article248777195.html'],[],0,,False,27,2,8,,,,,,,,,[],,,,
18,1354208017479200768,1354208017479200768,1611703325000.0,2021-01-26 15:22:05,-0800,,"Yes!!! @POTUS Biden has just ordered the US Justice Dept to end the use of for-profit, private prisons! This has been a key focus for me in CA as we passed similar laws #AB32 #AB3228 and just intro'd the #HOLDAct. We must ensure humane treatment for all!  https://t.co/UGuNbvHuVE",en,"['ab32', 'ab3228', 'holdact']",[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,2,15,https://twitter.com/RobBontaCA/status/1354208017479200768,['https://bloom.bg/3qXfghQ'],[],0,,False,35,4,6,,,,,,,,,[],,,,
19,1353902699993997312,1353902699993997312,1611630532000.0,2021-01-25 19:08:52,-0800,,"I was proud to co-author #HR10 with my colleague @AsmLisaCalderon which affirms &amp; defends the fundamental right to choose. Make no mistake—reproductive freedom and access to safe and legal resources, education, support and high-quality reproductive health care is a vital right!  https://t.co/BhCSEDj74W",en,['hr10'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,19,https://twitter.com/RobBontaCA/status/1353902699993997312,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1353902669350334464/pu/img/8z9kPIsAfqEZuC9m.jpg,False,22,0,4,,,,,,,,,[],,,,
20,1353854095652601856,1353854095652601856,1611618944000.0,2021-01-25 15:55:44,-0800,,"My #AB288 will help CA students achieve their dream of earning a college degree. Low-income students who are fortunate enough to receive a private scholarship, shouldn't be punished by ""scholarship displacement"" &amp; have other school aid be reduced! Info==&gt;  https://t.co/vOJ6B0Ul9e  https://t.co/dqLXss5PE4",en,['ab288'],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,15,https://twitter.com/RobBontaCA/status/1353854095652601856,['https://bit.ly/2KNTWfz'],['https://pbs.twimg.com/media/EsnV-iKU4AMllHN.jpg'],1,https://pbs.twimg.com/media/EsnV-iKU4AMllHN.jpg,False,35,2,8,,,,,,,,,[],,,,
21,1353763348639145984,1353763348639145984,1611597308000.0,2021-01-25 09:55:08,-0800,,"Thank you @POTUS for repealing the transgender ban on military service! Along w/ removing these discriminatory prohibitions, we must remain vigilant in our efforts to prevent the ongoing discrimination &amp; violence that many community members routinely face.  https://t.co/xXYNDpomZq",en,[],[],1004065528871247872,1004065528871247872,RobBontaCA,Rob Bonta,1,09,https://twitter.com/RobBontaCA/status/1353763348639145984,['https://www.npr.org/sections/president-biden-takes-office/2021/01/25/960338217/biden-repeals-trump-era-ban-on-transgender-soldiers'],[],0,,False,40,3,6,,,,,,,,,[],,,,
